day,new features,edits
2013-08-25 00:00:00+05:45,7497,428
2013-10-23 00:00:00+05:45,361,431
2008-12-22 00:00:00+05:45,0,5
2012-03-03 00:00:00+05:45,1026,244
2014-03-05 00:00:00+05:45,23688,571
2009-08-28 00:00:00+05:45,0,1
2009-01-22 00:00:00+05:45,223,163
2011-06-21 00:00:00+05:45,562,130
2012-10-11 00:00:00+05:45,2636,1300
2014-06-20 00:00:00+05:45,2086,277
2014-12-10 00:00:00+05:45,2,15
2011-09-26 00:00:00+05:45,893,60
2014-04-26 00:00:00+05:45,573,31
2014-09-24 00:00:00+05:45,1482,148
2009-11-04 00:00:00+05:45,702,82
2010-06-28 00:00:00+05:45,0,1
2014-08-15 00:00:00+05:45,10011,882
2014-04-14 00:00:00+05:45,374,104
2013-02-13 00:00:00+05:45,505,203
2014-05-08 00:00:00+05:45,45,214
2009-08-29 00:00:00+05:45,0,1
2014-02-23 00:00:00+05:45,1351,171
2015-11-15 00:00:00+05:45,0,10
2013-10-15 00:00:00+05:45,1021,153
2015-03-05 00:00:00+05:45,0,9
2008-06-03 00:00:00+05:45,1059,6
2012-11-12 00:00:00+05:45,779,234
2015-08-24 00:00:00+05:45,0,2
2014-03-12 00:00:00+05:45,888,173
2015-11-28 00:00:00+05:45,0,12
2014-10-16 00:00:00+05:45,27,48
2014-01-22 00:00:00+05:45,4353,555
2013-03-23 00:00:00+05:45,1867,259
2012-03-22 00:00:00+05:45,88,54
2014-11-29 00:00:00+05:45,2914,165
2008-12-01 00:00:00+05:45,0,3
2011-04-30 00:00:00+05:45,1,8
2016-07-20 00:00:00+05:45,0,5
2012-07-14 00:00:00+05:45,125,31
2013-09-19 00:00:00+05:45,5629,1149
2013-05-04 00:00:00+05:45,2708,1600
2008-03-26 00:00:00+05:45,2,5
2012-11-16 00:00:00+05:45,2478,183
2012-04-26 00:00:00+05:45,48,36
2012-10-28 00:00:00+05:45,96,19
2012-01-03 00:00:00+05:45,0,3
2013-06-02 00:00:00+05:45,620,504
2010-10-01 00:00:00+05:45,83,4
2014-12-11 00:00:00+05:45,3370,494
2015-05-08 00:00:00+05:45,0,249
2015-03-15 00:00:00+05:45,0,2
2013-04-04 00:00:00+05:45,1817,325
2009-03-16 00:00:00+05:45,17,93
2013-10-26 00:00:00+05:45,7164,4235
