Date,New Features,Edits
4/23/2013,5598,165
4/24/2013,2811,214
4/25/2013,3949,373
4/26/2013,4793,372
4/27/2013,2335,140
4/28/2013,1330,158
4/29/2013,3023,243
4/30/2013,1228,247
5/1/2013,5663,528
5/2/2013,2021,81
5/3/2013,1613,190
5/4/2013,2453,1338
5/5/2013,515,121
5/6/2013,2956,285
5/7/2013,1307,171
5/8/2013,557,88
5/9/2013,1294,113
5/10/2013,4838,199
5/11/2013,225,378
5/12/2013,1354,285
5/13/2013,3652,350
5/14/2013,2590,602
5/15/2013,688,101
5/16/2013,1407,153
5/17/2013,5971,336
5/18/2013,4113,94
5/19/2013,3420,256
5/20/2013,2934,271
5/21/2013,6916,203
5/22/2013,5586,196
5/23/2013,4495,318
5/24/2013,4516,365
5/25/2013,824,135
5/26/2013,1216,113
5/27/2013,4729,208
5/28/2013,4615,280
5/29/2013,4736,221
5/30/2013,5915,232
5/31/2013,2191,171
6/1/2013,660,259
6/2/2013,644,145
6/3/2013,1214,172
6/4/2013,2250,248
6/5/2013,1619,429
6/6/2013,1600,86
6/7/2013,491,65
6/8/2013,1813,1198
6/9/2013,3412,309
6/10/2013,948,259
6/11/2013,1168,140
6/12/2013,2445,448
6/13/2013,846,351
6/14/2013,970,129
6/15/2013,3,2
6/17/2013,1227,269
6/18/2013,554,132
6/19/2013,18088,756
6/20/2013,12297,671
6/21/2013,1985,130
6/22/2013,298,87
6/23/2013,638,161
6/24/2013,500,276
6/25/2013,2653,118
6/26/2013,3782,513
6/27/2013,3685,237
6/28/2013,1797,243
6/29/2013,1245,239
7/1/2013,325,845
7/2/2013,357,182
7/3/2013,128,20
7/4/2013,1813,471
7/5/2013,546,6785
7/6/2013,19,26
7/7/2013,225,222
7/8/2013,463,462
7/9/2013,116,488
7/10/2013,229,138
7/11/2013,5,4
7/12/2013,122,38
7/15/2013,2727,544
7/16/2013,1908,59
7/17/2013,58,200
7/18/2013,5904,1814
7/19/2013,1354,84
7/20/2013,4160,82
7/21/2013,2101,0
7/22/2013,1472,30
7/23/2013,1889,46
7/24/2013,592,189
7/25/2013,1285,52
7/26/2013,137,86
7/27/2013,1,5
7/28/2013,1552,430
7/29/2013,44,51
7/30/2013,429,88
7/31/2013,1248,148
8/1/2013,171,274
8/2/2013,1629,139
8/3/2013,7855,13
8/4/2013,167,55
8/5/2013,1160,107
8/6/2013,582,62
8/7/2013,3405,194
8/8/2013,1865,75
8/9/2013,3308,80
8/10/2013,9017,110
8/11/2013,1186,1963
8/12/2013,1859,197
8/13/2013,8627,1637
8/14/2013,6537,61
